Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.15229,-0.00214,-0.15224,-7.58E-04,-0.24207,-0.00153
-0.15331,-0.00216,-0.15327,-7.55E-04,-0.24308,-0.00152
-0.15429,-0.00215,-0.15426,-7.69E-04,-0.24408,-0.00153
-0.15528,-0.00216,-0.15527,-7.57E-04,-0.24511,-0.00155
-0.1563,-0.00216,-0.15626,-7.63E-04,-0.24608,-0.00155
-0.1573,-0.00218,-0.15725,-7.74E-04,-0.24707,-0.00157
-0.1583,-0.00217,-0.15826,-7.59E-04,-0.24809,-0.00161
-0.1593,-0.00217,-0.15926,-7.76E-04,-0.24909,-0.00169
-0.16029,-0.00218,-0.16027,-7.57E-04,-0.25009,-0.00165
-0.1613,-0.00218,-0.16124,-7.77E-04,-0.25107,-0.00167
-0.16229,-0.00218,-0.16224,-7.66E-04,-0.25208,-0.00164
-0.1633,-0.00218,-0.16324,-7.74E-04,-0.25308,-0.00164
-0.16431,-0.00219,-0.16425,-7.69E-04,-0.2541,-0.00167
-0.1653,-0.00219,-0.16526,-7.79E-04,-0.2551,-0.00171
-0.16627,-0.00219,-0.16624,-7.73E-04,-0.25608,-0.00171
-0.16728,-0.00219,-0.16725,-7.77E-04,-0.25707,-0.00172
-0.16829,-0.00221,-0.16824,-7.68E-04,-0.25808,-0.00171
-0.1693,-0.0022,-0.16925,-7.80E-04,-0.25906,-0.00174
-0.17029,-0.00221,-0.17023,-7.66E-04,-0.26008,-0.00179
-0.17128,-0.00223,-0.17122,-7.84E-04,-0.26108,-0.00182
-0.17229,-0.00226,-0.17225,-7.64E-04,-0.26209,-0.0018
-0.17329,-0.00227,-0.17325,-7.80E-04,-0.26309,-0.0018
-0.17429,-0.00227,-0.17425,-7.72E-04,-0.26408,-0.00188
-0.17531,-0.00228,-0.17527,-7.76E-04,-0.26508,-0.0018
-0.17629,-0.00227,-0.17624,-7.73E-04,-0.26607,-0.00184
-0.17731,-0.00227,-0.17725,-7.77E-04,-0.26709,-0.00187
-0.17829,-0.00227,-0.17824,-7.77E-04,-0.26808,-0.00187
-0.1793,-0.00228,-0.17927,-7.87E-04,-0.26908,-0.0019
-0.1803,-0.00227,-0.18023,-7.77E-04,-0.27009,-0.0019
-0.18128,-0.00229,-0.18125,-7.87E-04,-0.27109,-0.00196
-0.18229,-0.0023,-0.18224,-7.86E-04,-0.27209,-0.00195
